Kannada,English
ವ್ಯತ್ಯಾಸ,difference
ವಿಭಿನ್ನ,different
ವಿಭಿನ್ನವಾಗಿ,differently
ಕಷ್ಟ,difficult
ಕಷ್ಟ,difficulty
ಅಗೆಯಿರಿ,dig
ಡಿಜಿಟಲ್,digital
ಆಯಾಮ,dimension
ಊಟ,dining
ಊಟ,dinner
ನೇರ,direct
ನಿರ್ದೇಶನ,direction
ನೇರವಾಗಿ,directly
ನಿರ್ದೇಶಕ,director
ಕೊಳಕು,dirt
ಕೊಳಕು,dirty
ಅಂಗವೈಕಲ್ಯ,disability
ಒಪ್ಪುವುದಿಲ್ಲ,disagree
ಮಾಯವಾಗುತ್ತವೆ,disappear
ದುರಂತದ,disaster
ಶಿಸ್ತು,discipline
ಪ್ರವಚನ,discourse
ಕಂಡುಹಿಡಿಯಲು,discover
ಆವಿಷ್ಕಾರ,discovery
ತಾರತಮ್ಯ,discrimination
ಚರ್ಚಿಸಿ,discuss
ಚರ್ಚೆ,discussion
ರೋಗ,disease
ಭಕ್ಷ್ಯ,dish
ವಜಾಗೊಳಿಸಿ,dismiss
ಅಸ್ವಸ್ಥತೆ,disorder
ಪ್ರದರ್ಶನ,display
ವಿವಾದ,dispute
ದೂರ,distance
ದೂರದ,distant
ವಿಶಿಷ್ಟ,distinct
ವ್ಯತ್ಯಾಸ,distinction
ವ್ಯತ್ಯಾಸ,distinguish
ವಿತರಿಸಿ,distribute
ವಿತರಣೆ,distribution
ಜಿಲ್ಲೆ,district
ವೈವಿಧ್ಯಮಯ,diverse
ವೈವಿಧ್ಯತೆ,diversity
ವಿಭಜಿಸು,divide
ವಿಭಾಗ,division
ವಿಚ್ಛೇದನ,divorce
ಡಿಎನ್ಎ,DNA
ಮಾಡು,do
ವೈದ್ಯರು,doctor
ದಾಖಲೆ,document
ಮಾಡುತ್ತದೆ,does
ನಾಯಿ,dog
ಡಾಲರ್,dollar
ಗೃಹಬಳಕೆಯ,domestic
ಪ್ರಬಲ,dominant
ಪ್ರಾಬಲ್ಯ,dominate
ಬೇಡ,don’t
ಮಾಡಲಾಗಿದೆ,done
ಬಾಗಿಲು,door
ದ್ವಿಗುಣ,double
ಅನುಮಾನ,doubt
ಕೆಳಗೆ,down
ಪೇಟೆ,downtown
ಡಜನ್,dozen
ಕರಡು,draft
ಎಳೆಯಿರಿ,drag
ನಾಟಕ,drama
ನಾಟಕೀಯ,dramatic
ನಾಟಕೀಯವಾಗಿ,dramatically
ಡ್ರಾ,draw
ಚಿತ್ರ,drawing
ಕನಸು,dream
ಉಡುಗೆ,dress
ಕುಡಿಯಲು,drink
ಚಾಲನೆ,drive
ಚಾಲಕ,driver
ಡ್ರಾಪ್,drop
ಔಷಧ,drug
ಒಣ,dry
ಬಾತುಕೋಳಿ,duck
ಬಾಕಿ,due
ಸಮಯದಲ್ಲಿ,during
ಧೂಳು,dust
ಕರ್ತವ್ಯ,duty
ಪ್ರತಿ,each
ಉತ್ಸಾಹಿ,eager
ಕಿವಿ,ear
ಬೇಗ,early
ಗಳಿಸುತ್ತಾರೆ,earn
ಗಳಿಕೆಗಳು,earnings
ಭೂಮಿ,earth
ಸರಾಗ,ease
ಸುಲಭವಾಗಿ,easily
ಪೂರ್ವ,east
ಪೂರ್ವ,eastern
ಸುಲಭ,easy
ತಿನ್ನು,eat
ಆರ್ಥಿಕ,economic
ಅರ್ಥಶಾಸ್ತ್ರ,economics
ಅರ್ಥಶಾಸ್ತ್ರಜ್ಞ,economist
ಆರ್ಥಿಕತೆ,economy
ಅಂಚು,edge
ಆವೃತ್ತಿ,edition
ಸಂಪಾದಕ,editor
ಶಿಕ್ಷಣ,educate
ಶಿಕ್ಷಣ,education
ಶೈಕ್ಷಣಿಕ,educational
ಶಿಕ್ಷಣತಜ್ಞ,educator
ಪರಿಣಾಮ,effect
ಪರಿಣಾಮಕಾರಿ,effective
ಪರಿಣಾಮಕಾರಿಯಾಗಿ,effectively
ದಕ್ಷತೆ,efficiency
ದಕ್ಷ,efficient
ಪ್ರಯತ್ನ,effort
ಮೊಟ್ಟೆ,egg
ಎಂಟು,eight
ಒಂದೋ,either
ಹಿರಿಯರು,elderly
ಆಯ್ಕೆ,elect
ಚುನಾವಣೆ,election
ವಿದ್ಯುತ್,electric
ವಿದ್ಯುತ್,electricity
ಎಲೆಕ್ಟ್ರಾನಿಕ್,electronic
ಅಂಶ,element
ಪ್ರಾಥಮಿಕ,elementary
ತೊಡೆದುಹಾಕಲು,eliminate
ಗಣ್ಯ,elite
ಬೇರೆ,else
ಬೇರೆಡೆ,elsewhere
ಇ-ಮೇಲ್,e-mail
ಅಪ್ಪಿಕೊಳ್ಳುತ್ತಾರೆ,embrace
ಹೊರಹೊಮ್ಮುತ್ತವೆ,emerge
ತುರ್ತು,emergency
ಹೊರಸೂಸುವಿಕೆ,emission
ಭಾವನೆ,emotion
ಭಾವನಾತ್ಮಕ,emotional
ಒತ್ತು,emphasis
ಒತ್ತು ನೀಡಿ,emphasize
ನೇಮಿಸು,employ
ಉದ್ಯೋಗಿ,employee
ಉದ್ಯೋಗದಾತ,employer
ಉದ್ಯೋಗ,employment
ಖಾಲಿ,empty
ಸಕ್ರಿಯಗೊಳಿಸಿ,enable
ಎನ್ಕೌಂಟರ್,encounter
ಪ್ರೋತ್ಸಾಹಿಸಲು,encourage
ಅಂತ್ಯ,end
ಶತ್ರು,enemy
ಶಕ್ತಿ,energy
ಜಾರಿ,enforcement
ತೊಡಗಿಸಿಕೊಳ್ಳಿ,engage
ಎಂಜಿನ್,engine
ಎಂಜಿನಿಯರ್,engineer
ಎಂಜಿನಿಯರಿಂಗ್,engineering
ಆಂಗ್ಲ,English
ವರ್ಧಿಸು,enhance
ಆನಂದಿಸಿ,enjoy
ಅಗಾಧ,enormous
ಸಾಕು,enough
ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಿ,ensure
ನಮೂದಿಸಿ,enter
ಉದ್ಯಮ,enterprise
ಮನರಂಜನೆ,entertainment
ಸಂಪೂರ್ಣ,entire
ಸಂಪೂರ್ಣವಾಗಿ,entirely
ಪ್ರವೇಶ,entrance
ಪ್ರವೇಶ,entry
ಪರಿಸರ,environment
ಪರಿಸರ,environmental
ಪ್ರಸಂಗ,episode
ಸಮಾನ,equal
ಸಮಾನವಾಗಿ,equally
ಸಮೀಕರಿಸಿ,equate
ಉಪಕರಣ,equipment
ಯುಗ,era
ದೋಷ,error
ತಪ್ಪಿಸಿಕೊಳ್ಳಲು,escape
ವಿಶೇಷವಾಗಿ,especially
ಪ್ರಬಂಧ,essay
ಅಗತ್ಯ,essential
ಮೂಲಭೂತವಾಗಿ,essentially
ಸ್ಥಾಪಿಸು,establish
ಸ್ಥಾಪನೆ,establishment
ಎಸ್ಟೇಟ್,estate
ಅಂದಾಜು,estimate
ಇತ್ಯಾದಿ,etc
ನೈತಿಕತೆ,ethics
ಜನಾಂಗೀಯ,ethnic
ಯುರೋಪಿಯನ್,European
ಮೌಲ್ಯಮಾಪನ,evaluate
ಮೌಲ್ಯಮಾಪನ,evaluation
ಸಹ,even
ಸಂಜೆ,evening
ಘಟನೆ,event
ಅಂತಿಮವಾಗಿ,eventually
ಎಂದೆಂದಿಗೂ,ever
ಪ್ರತಿ,every
ಎಲ್ಲರೂ,everybody
ಪ್ರತಿ ದಿನ,everyday
ಎಲ್ಲರೂ,everyone
ಎಲ್ಲವೂ,everything
ಎಲ್ಲೆಡೆ,everywhere
ಸಾಕ್ಷಿ,evidence
ವಿಕಾಸ,evolution
ವಿಕಸನ,evolve
ನಿಖರ,exact
ನಿಖರವಾಗಿ,exactly
ಪರೀಕ್ಷೆ,examination
ಪರೀಕ್ಷಿಸಲು,examine
ಉದಾಹರಣೆ,example
ಮೀರಿದೆ,exceed
ಅತ್ಯುತ್ತಮ,excellent
ಹೊರತುಪಡಿಸಿ,except
ವಿನಾಯಿತಿ,exception
ವಿನಿಮಯ,exchange
ಪ್ರಚೋದಿಸು,excite
ಅತ್ಯಾಕರ್ಷಕ,exciting
ಕಾರ್ಯನಿರ್ವಾಹಕ,executive
ವ್ಯಾಯಾಮ,exercise
ಪ್ರದರ್ಶಿಸು,exhibit
ಪ್ರದರ್ಶನ,exhibition
ಅಸ್ತಿತ್ವದಲ್ಲಿವೆ,exist
ಅಸ್ತಿತ್ವ,existence
ಅಸ್ತಿತ್ವದಲ್ಲಿರುವ,existing
ವಿಸ್ತರಿಸಲು,expand
ವಿಸ್ತರಣೆ,expansion
ನಿರೀಕ್ಷಿಸಬಹುದು,expect
ನಿರೀಕ್ಷೆ,expectation
ವೆಚ್ಚ,expense
ದುಬಾರಿ,expensive
ಅನುಭವ,experience
ಪ್ರಯೋಗ,experiment
ತಜ್ಞ,expert
ವಿವರಿಸಿ,explain
ವಿವರಣೆ,explanation
ಸ್ಫೋಟಗೊಳ್ಳುತ್ತವೆ,explode
ಅನ್ವೇಷಿಸಿ,explore
ಸ್ಫೋಟ,explosion
ಒಡ್ಡಲು,expose
ಒಡ್ಡುವಿಕೆ,exposure
ಎಕ್ಸ್ಪ್ರೆಸ್,express
ಅಭಿವ್ಯಕ್ತಿ,expression
ವಿಸ್ತರಿಸಿ,extend
ವಿಸ್ತರಣೆ,extension
ವ್ಯಾಪಕ,extensive
ಮಟ್ಟಿಗೆ,extent
ಬಾಹ್ಯ,external
ಹೆಚ್ಚುವರಿ,extra
ಅಸಾಧಾರಣ,extraordinary
ವಿಪರೀತ,extreme
ಅತ್ಯಂತ,extremely
ಕಣ್ಣು,eye
ಫ್ಯಾಬ್ರಿಕ್,fabric
ಮುಖ,face
ಸೌಲಭ್ಯ,facility
ವಾಸ್ತವ,fact
ಅಂಶ,factor
ಕಾರ್ಖಾನೆ,factory
ಸಿಬ್ಬಂದಿ,faculty
ಮಸುಕಾಗುತ್ತದೆ,fade
ಅನುತ್ತೀರ್ಣ,fail
ವೈಫಲ್ಯ,failure
ನ್ಯಾಯೋಚಿತ,fair
ತಕ್ಕಮಟ್ಟಿಗೆ,fairly
ನಂಬಿಕೆ,faith
ಬೀಳುತ್ತವೆ,fall
ಪರಿಚಿತ,familiar
ಕುಟುಂಬ,family
ಖ್ಯಾತ,famous
ಅಭಿಮಾನಿ,fan
ಫ್ಯಾಂಟಸಿ,fantasy
ದೂರ,far
ಕೃಷಿ,farm
ರೈತ,farmer
ಫ್ಯಾಷನ್,fashion
ವೇಗವಾಗಿ,fast
ಕೊಬ್ಬು,fat
ವಿಧಿ,fate
ತಂದೆ,father
ತಪ್ಪು,fault
ಒಲವು,favor
ನೆಚ್ಚಿನ,favorite
ಭಯ,fear
ವೈಶಿಷ್ಟ್ಯ,feature
ಫೆಡರಲ್,federal
ಶುಲ್ಕ,fee
ಆಹಾರ,feed
ಅನುಭವಿಸು,feel
ಭಾವನೆ,feeling
ಅಡಿ,feet
ಬಿದ್ದಿತು,fell
ಸಹ,fellow
ಭಾವಿಸಿದರು,felt
ಹೆಣ್ಣು,female
ಬೇಲಿ,fence
ಕೆಲವು,few
ಕಡಿಮೆ,fewer
ಫೈಬರ್,fiber
ಕಾಲ್ಪನಿಕ,fiction
ಕ್ಷೇತ್ರ,field
ಹದಿನೈದು,fifteen
ಐದನೇ,fifth
ಐವತ್ತು,fifty
ಅಂಜೂರ,fig
ಹೋರಾಟ,fight
ಹೋರಾಟಗಾರ,fighter
ಹೋರಾಟ,fighting
ಚಿತ್ರ,figure
ಫೈಲ್,file
ಭರ್ತಿ,fill
ಚಲನಚಿತ್ರ,film
ಅಂತಿಮ,final
ಅಂತಿಮವಾಗಿ,finally
ಹಣಕಾಸು,finance
ಆರ್ಥಿಕ,financial
ಕಂಡುಕೊಳ್ಳಿ,find
ಕಂಡುಹಿಡಿಯುವುದು,finding
ಚೆನ್ನಾಗಿದೆ,fine
ಬೆರಳು,finger
ಮುಗಿಸು,finish
ಬೆಂಕಿ,fire
ಸಂಸ್ಥೆ,firm
ಪ್ರಥಮ,first
ಮೀನು,fish
ಮೀನುಗಾರಿಕೆ,fishing
ಸರಿಹೊಂದುತ್ತದೆ,fit
ಫಿಟ್ನೆಸ್,fitness
ಐದು,five
ಸರಿಪಡಿಸಿ,fix
ಧ್ವಜ,flag
ಜ್ವಾಲೆ,flame
ಚಪ್ಪಟೆ,flat
ಸುವಾಸನೆ,flavor
ಪಲಾಯನ,flee
ಮಾಂಸ,flesh
ವಿಮಾನ,flight
ತೇಲುತ್ತವೆ,float
ಮಹಡಿ,floor
ಹರಿವು,flow
ಹೂವು,flower
ನೊಣ,fly
ಗಮನ,focus
ಜಾನಪದ,folk
ಅನುಸರಿಸಿ,follow
ಕೆಳಗಿನ,following
ಆಹಾರ,food
ಪಾದ,foot
ಫುಟ್ಬಾಲ್,football
ಫಾರ್,for
ಬಲ,force
ವಿದೇಶಿ,foreign
ಅರಣ್ಯ,forest
ಶಾಶ್ವತವಾಗಿ,forever
ಮರೆತುಬಿಡು,forget
ರೂಪ,form
ಔಪಚಾರಿಕ,formal
ರಚನೆ,formation
ಮಾಜಿ,former
ಸೂತ್ರ,formula
ಮುಂದಕ್ಕೆ,forth
ಅದೃಷ್ಟ,fortune
ಮುಂದೆ,forward
ಕಂಡು,found
ಅಡಿಪಾಯ,foundation
ಸಂಸ್ಥಾಪಕ,founder
ನಾಲ್ಕು,four
ನಾಲ್ಕನೇ,fourth
ಭಾಗ,fraction
ಚೌಕಟ್ಟು,frame
ಚೌಕಟ್ಟು,framework
ಉಚಿತ,free
ಸ್ವಾತಂತ್ರ್ಯ,freedom
ಫ್ರೀಜ್,freeze
ಫ್ರೆಂಚ್,French
ಆವರ್ತನ,frequency
ಆಗಾಗ್ಗೆ,frequent
ಆಗಾಗ್ಗೆ,frequently
ತಾಜಾ,fresh
ಸ್ನೇಹಿತ,friend
ಸ್ನೇಹಪರ,friendly
ಸ್ನೇಹಕ್ಕಾಗಿ,friendship
ನಿಂದ,from
ಮುಂಭಾಗ,front
ಹಣ್ಣು,fruit
ಹತಾಶೆ,frustration
ಇಂಧನ,fuel
ಪೂರ್ಣ,full
ಪೂರ್ತಿಯಾಗಿ,fully
ಮೋಜಿನ,fun
ಕಾರ್ಯ,function
ನಿಧಿ,fund
ಮೂಲಭೂತ,fundamental
ಧನಸಹಾಯ,funding
ಅಂತ್ಯಕ್ರಿಯೆ,funeral
ತಮಾಷೆ,funny
ಪೀಠೋಪಕರಣಗಳು,furniture
ಇದಲ್ಲದೆ,furthermore
ಭವಿಷ್ಯ,future
ಲಾಭ,gain
ನಕ್ಷತ್ರಪುಂಜ,galaxy
ಗ್ಯಾಲರಿ,gallery
ಆಟ,game
ಗ್ಯಾಂಗ್,gang
ಅಂತರ,gap
ಗ್ಯಾರೇಜ್,garage
ಉದ್ಯಾನ,garden
ಬೆಳ್ಳುಳ್ಳಿ,garlic
ಅನಿಲ,gas
ಗೇಟ್,gate
ಸಂಗ್ರಹಿಸಿ,gather
ನೀಡಿದರು,gave
ಸಲಿಂಗಕಾಮಿ,gay
ನೋಟ,gaze
ಗೇರ್,gear
ಲಿಂಗ,gender
ಜೀನ್,gene
ಸಾಮಾನ್ಯ,general
ಸಾಮಾನ್ಯವಾಗಿ,generally
ಉತ್ಪಾದಿಸು,generate
ಪೀಳಿಗೆ,generation
ಆನುವಂಶಿಕ,genetic
ಸೌಮ್ಯ,gentle
ಸಂಭಾವಿತ,gentleman
ನಿಧಾನವಾಗಿ,gently
ಜರ್ಮನ್,German
ಗೆಸ್ಚರ್,gesture
ಪಡೆಯಿರಿ,get
ದೆವ್ವ,ghost
ದೈತ್ಯ,giant
ಉಡುಗೊರೆ,gift
ಉಡುಗೊರೆಯಾಗಿ ನೀಡಿದೆ,gifted
ಹುಡುಗಿ,girl
ಗೆಳತಿ,girlfriend
ನೀಡಿ,give
ನೀಡಿದ,given
ಸಂತೋಷವಾಗಿದೆ,glad
ನೋಟ,glance
ಗಾಜು,glass
ಜಾಗತಿಕ,global
ಕೈಗವಸು,glove
ಹೋಗು,go
ಗುರಿ,goal
ದೇವರು,God
ಚಿನ್ನ,gold
ಚಿನ್ನದ,golden
ಗಾಲ್ಫ್,golf
ಹೋದರು,gone
ಒಳ್ಳೆಯದು,good
ಸಿಕ್ಕಿತು,got
ಆಡಳಿತ,govern
ಸರ್ಕಾರ,government
ರಾಜ್ಯಪಾಲ,governor
ದೋಚಿದ,grab
ದರ್ಜೆ,grade
ಕ್ರಮೇಣ,gradually
ಪದವಿಧರ,graduate
ಧಾನ್ಯ,grain
ಭವ್ಯ,grand
ಅಜ್ಜ,grandfather
ಅಜ್ಜಿ,grandmother
ಅನುದಾನ,grant
ಹುಲ್ಲು,grass
ಸಮಾಧಿ,grave
ಬೂದು,gray
ಶ್ರೇಷ್ಠ,great
ಶ್ರೇಷ್ಠ,greatest
ಹಸಿರು,green
ಬೆಳೆದಿದೆ,grew
ದಿನಸಿ,grocery
ನೆಲ,ground
ಗುಂಪು,group
ಬೆಳೆಯುತ್ತವೆ,grow
ಬೆಳೆಯುತ್ತಿದೆ,growing
ಬೆಳವಣಿಗೆ,growth
ಖಾತರಿ,guarantee
ಕಾವಲುಗಾರ,guard
ಊಹೆ,guess
ಅತಿಥಿ,guest
ಮಾರ್ಗದರ್ಶಿ,guide
ಮಾರ್ಗಸೂಚಿ,guideline
ತಪ್ಪಿತಸ್ಥ,guilty
ಬಂದೂಕು,gun
ವ್ಯಕ್ತಿ,guy
ಅಭ್ಯಾಸ,habit
ಆವಾಸಸ್ಥಾನ,habitat
ಹೊಂದಿತ್ತು,had
ಕೂದಲು,hair
ಅರ್ಧ,half
ಸಭಾಂಗಣ,hall
ಕೈ,hand
ಕೈತುಂಬ,handful
ಹ್ಯಾಂಡಲ್,handle
ಸ್ಥಗಿತಗೊಳಿಸಿ,hang
ಸಂಭವಿಸುತ್ತವೆ,happen
ಸಂತೋಷ,happy
ಕಠಿಣ,hard
ಅಷ್ಟೇನೂ ಕಷ್ಟವಿಲ್ಲ,hardly
ಇದೆ,has
ಟೋಪಿ,hat
ದ್ವೇಷ,hate
ಹೊಂದಿವೆ,have
ಅವನು,he
ತಲೆ,head
ಶೀರ್ಷಿಕೆ,headline
ಪ್ರಧಾನ ಕಚೇರಿ,headquarters
ಆರೋಗ್ಯ,health
ಆರೋಗ್ಯಕರ,healthy
ಕೇಳು,hear
ಕೇಳಿದ,heard
ಕೇಳಿ,hearing
ಹೃದಯ,heart
ಶಾಖ,heat
ಸ್ವರ್ಗ,heaven
ಭಾರೀ,heavily
ಭಾರವಾದ,heavy
ಹಿಮ್ಮಡಿ,heel
ಎತ್ತರ,height
ನಡೆಯಿತು,held
ಹೆಲಿಕಾಪ್ಟರ್,helicopter
ನರಕ,hell
ನಮಸ್ಕಾರ,hello
ಸಹಾಯ,help
ಸಹಾಯಕವಾಗಿದೆ,helpful
ಅವಳು,her
ಇಲ್ಲಿ,here
ಪರಂಪರೆ,heritage
ನಾಯಕ,hero
ಸ್ವತಃ,herself
ಹೇ,hey
ನಮಸ್ತೆ,hi
ಅಡಗಿಸು,hide
ಹೆಚ್ಚಿನ,high
ಹೈಲೈಟ್,highlight
ಹೆಚ್ಚು,highly
ಹೆದ್ದಾರಿ,highway
ಬೆಟ್ಟ,hill
ಅವನನ್ನು,him
ಸ್ವತಃ,himself
ಸೊಂಟ,hip
ಬಾಡಿಗೆ,hire
ಅವನ,his
ಇತಿಹಾಸಕಾರ,historian
ಐತಿಹಾಸಿಕ,historic
ಐತಿಹಾಸಿಕ,historical
ಇತಿಹಾಸ,history
ಹಿಟ್,hit
ಹಿಡಿದುಕೊಳ್ಳಿ,hold
ರಂಧ್ರ,hole
ರಜೆ,holiday
ಪವಿತ್ರ,holy
ಮನೆ,home
ಮನೆಯಿಲ್ಲದವರು,homeless
ಪ್ರಾಮಾಣಿಕ,honest
ಜೇನು,honey
ಗೌರವ,honor
ಭರವಸೆ,hope
ದಿಗಂತ,horizon
ಭಯಾನಕ,horror
ಕುದುರೆ,horse
ಆಸ್ಪತ್ರೆ,hospital
ಅತಿಥೆಯ,host
ಬಿಸಿ,hot
ಹೋಟೆಲ್,hotel
ಗಂಟೆ,hour
ಮನೆ,house
ಮನೆಯ,household
ವಸತಿ,housing
ಹೇಗೆ,how
ಆದಾಗ್ಯೂ,however
ಬೃಹತ್,huge
ಮಾನವ,human
ಹಾಸ್ಯ,humor
ನೂರು,hundred
ಹಸಿವು,hungry
ಬೇಟೆ,hunt
ಬೇಟೆಗಾರ,hunter
ಬೇಟೆಯಾಡುವುದು,hunting
ಯದ್ವಾತದ್ವಾ,hurry
ನೋವುಂಟು ಮಾಡಿದೆ,hurt
ಗಂಡ,husband
ಕಲ್ಪನೆ,hypothesis
ನಾನು,I
ಮಂಜುಗಡ್ಡೆ,ice
ಕಲ್ಪನೆ,idea
ಆದರ್ಶ,ideal
ಗುರುತಿಸುವಿಕೆ,identification
ಗುರುತಿಸಲು,identify
ಗುರುತು,identity
ಅಂದರೆ,ie
ವೇಳೆ,if
ನಿರ್ಲಕ್ಷಿಸಿ,ignore
ಅನಾರೋಗ್ಯ,ill
ಅಕ್ರಮ,illegal
ಅನಾರೋಗ್ಯ,illness
ವಿವರಿಸಿ,illustrate
ಚಿತ್ರ,image
ಕಲ್ಪನೆ,imagination
ಊಹಿಸಿ,imagine
ತಕ್ಷಣ,immediate
ತಕ್ಷಣ,immediately
ವಲಸಿಗ,immigrant
ವಲಸೆ,immigration
ಪರಿಣಾಮ,impact
ಕಾರ್ಯಗತಗೊಳಿಸಿ,implement
ಒಳಾರ್ಥ,implication
ಸೂಚಿಸುತ್ತವೆ,imply
ಪ್ರಾಮುಖ್ಯತೆ,importance
ಪ್ರಮುಖ,important
ವಿಧಿಸಿ,impose
ಅಸಾಧ್ಯ,impossible
ಈಕೆಯನ್ನು,impress
ಅನಿಸಿಕೆ,impression
ಪ್ರಭಾವಶಾಲಿ,impressive
ಸುಧಾರಿಸು,improve
ಸುಧಾರಣೆ,improvement
ರಲ್ಲಿ,in
ಪ್ರೋತ್ಸಾಹಕ,incentive
ಇಂಚು,inch
ಘಟನೆ,incident
ಒಳಗೊಂಡಿದೆ,include
ಸೇರಿದಂತೆ,including
ಆದಾಯ,income
ಸಂಯೋಜಿಸು,incorporate
ಹೆಚ್ಚಳ,increase
ಹೆಚ್ಚಾಗಿದೆ,increased
ಹೆಚ್ಚುತ್ತಿದೆ,increasing
ಹೆಚ್ಚೆಚ್ಚು,increasingly
ನಂಬಲಾಗದ,incredible
ವಾಸ್ತವವಾಗಿ,indeed
ಸ್ವಾತಂತ್ರ್ಯ,independence
ಸ್ವತಂತ್ರ,independent
ಸೂಚ್ಯಂಕ,index
ಭಾರತೀಯ,Indian
ಸೂಚಿಸುತ್ತದೆ,indicate
ಸೂಚನೆ,indication
ವೈಯಕ್ತಿಕ,individual
ಕೈಗಾರಿಕಾ,industrial
ಉದ್ಯಮ,industry
ಶಿಶು,infant
ಸೋಂಕು,infection
ಹಣದುಬ್ಬರ,inflation
ಪ್ರಭಾವ,influence
ತಿಳಿಸು,inform
ಮಾಹಿತಿ,information
ಪದಾರ್ಥ,ingredient
ಆರಂಭಿಕ,initial
ಆರಂಭದಲ್ಲಿ,initially
ಉಪಕ್ರಮ,initiative
ಗಾಯ,injury
ಒಳ,inner
ಮುಗ್ಧ,innocent
ವಿಚಾರಣೆ,inquiry
ಕೀಟ,insect
ಒಳಗೆ,inside
ಒಳನೋಟ,insight
ಒತ್ತಾಯ,insist
ಸ್ಫೂರ್ತಿ,inspire
ಸ್ಥಾಪಿಸು,install
ಉದಾಹರಣೆ,instance
ತ್ವರಿತ,instant
ಬದಲಾಗಿ,instead
ಸಂಸ್ಥೆ,institution
ಸಾಂಸ್ಥಿಕ,institutional
ಸೂಚನಾ,instruction
ಬೋಧಕ,instructor
ಉಪಕರಣ,instrument
ವಿಮೆ,insurance
ಬೌದ್ಧಿಕ,intellectual
ಗುಪ್ತಚರ,intelligence
ಉದ್ದೇಶ,intend
ತೀವ್ರ,intense
ತೀವ್ರತೆ,intensity
ಉದ್ದೇಶ,intention
ಪರಸ್ಪರ,interaction
ಆಸಕ್ತಿ,interest
ಆಸಕ್ತಿ,interested
ಆಸಕ್ತಿದಾಯಕ,interesting
ಆಂತರಿಕ,internal
ಅಂತಾರಾಷ್ಟ್ರೀಯ,international
ಇಂಟರ್ನೆಟ್,Internet
ಅರ್ಥೈಸುತ್ತಾರೆ,interpret
ವ್ಯಾಖ್ಯಾನ,interpretation
ಹಸ್ತಕ್ಷೇಪ,intervention
ಸಂದರ್ಶನ,interview
ಒಳಗೆ,into
ಪರಿಚಯಿಸು,introduce
ಪರಿಚಯ,introduction
ಆಕ್ರಮಣ,invasion
ಆವಿಷ್ಕಾರ,invent
ಹೂಡಿಕೆ,invest
ತನಿಖೆ,investigate
ತನಿಖೆ,investigation
ತನಿಖಾಧಿಕಾರಿ,investigator
ಬಂಡವಾಳ,investment
ಹೂಡಿಕೆದಾರ,investor
ಆಹ್ವಾನಿಸಿ,invite
ಒಳಗೊಂಡಿರುತ್ತದೆ,involve
ಒಳಗೊಂಡಿರುವ,involved
ಒಳಗೊಳ್ಳುವಿಕೆ,involvement
ಇರಾಕಿ,Iraqi
ಐರಿಶ್,Irish
ಕಬ್ಬಿಣ,iron
ಇದೆ,is
ಇಸ್ಲಾಮಿಕ್,Islamic
ದ್ವೀಪ,island
ಇಸ್ರೇಲಿ,Israeli
ಸಮಸ್ಯೆ,issue
ಇದು,it
ಇಟಾಲಿಯನ್,Italian
ಐಟಂ,item
ಅದರ,its
ಸ್ವತಃ,itself
ಜಾಕೆಟ್,jacket
ಜೈಲು,jail
ಜಪಾನೀಸ್,Japanese
ಜೆಟ್,jet
ಯಹೂದಿ,Jew
ಯಹೂದಿ,Jewish
ಕೆಲಸ,job
ಸೇರು,join
ಜಂಟಿ,joint
ತಮಾಷೆ,joke
ಜರ್ನಲ್,journal
ಪತ್ರಕರ್ತ,journalist
ಪ್ರಯಾಣ,journey
ಸಂತೋಷ,joy
ನ್ಯಾಯಾಧೀಶರು,judge
ತೀರ್ಪು,judgment
ರಸ,juice
ನೆಗೆಯುವುದನ್ನು,jump
ಕಿರಿಯ,junior
ತೀರ್ಪುಗಾರರು,jury
ಕೇವಲ,just
ನ್ಯಾಯ,justice
ಸಮರ್ಥನೆ,justify
ಇಟ್ಟುಕೊಳ್ಳಿ,keep
ಇಡಲಾಗಿದೆ,kept
ಕೀ,key
ಒದೆ,kick
ಮಗು,kid
ಕೊಲ್ಲು,kill
ಕೊಲೆಗಾರ,killer
ಕೊಲ್ಲುವುದು,killing
ರೀತಿಯ,kind
ರಾಜ,king
ಮುತ್ತು,kiss
ಅಡಿಗೆ,kitchen
ಮೊಣಕಾಲು,knee
ತಿಳಿದಿತ್ತು,knew
ಚಾಕು,knife
ನಾಕ್,knock
ಗೊತ್ತು,know
ಜ್ಞಾನ,knowledge
ಪ್ರಯೋಗಾಲಯ,lab
ಲೇಬಲ್,label
ಕಾರ್ಮಿಕ,labor
ಪ್ರಯೋಗಾಲಯ,laboratory
ಕೊರತೆ,lack
ಮಹಿಳೆ,lady
ಕೆರೆ,lake
ಭೂಮಿ,land
ಭೂದೃಶ್ಯ,landscape
ಭಾಷೆ,language
ಮಡಿ,lap
ದೊಡ್ಡ,large
ಹೆಚ್ಚಾಗಿ,largely
ಕೊನೆಯ,last
ತಡವಾಗಿ,late
ನಂತರ,later
ಲ್ಯಾಟಿನ್,Latin
ನಂತರದ,latter
ನಗು,laugh
ಆರಂಭ,launch
ಕಾನೂನು,law
ಹುಲ್ಲುಹಾಸು,lawn
ಮೊಕದ್ದಮೆ,lawsuit
ವಕೀಲ,lawyer
ಲೇ,lay
ಪದರ,layer
